Datetime,eur,nok,sek,cny,jpy
2026-07-09 04:47:00+01:00,1.142987847328186,9.74905014038086,9.677370071411133,6.797200202941895,162.4459991455078
2026-07-09 04:48:00+01:00,1.142987847328186,9.74905014038086,9.675769805908203,6.786900043487549,162.44200134277344
2026-07-09 04:49:00+01:00,1.142987847328186,9.74962043762207,9.67588996887207,6.797200202941895,162.45399475097656
2026-07-09 04:50:00+01:00,1.142987847328186,9.74948024749756,9.677969932556152,6.797200202941895,162.44400024414062
2026-07-09 04:51:00+01:00,1.142987847328186,9.748579978942873,9.67605972290039,6.797500133514404,162.4429931640625
2026-07-09 04:52:00+01:00,1.143118381500244,9.748149871826172,9.67726993560791,6.797500133514404,162.4409942626953
2026-07-09 04:53:00+01:00,1.143118381500244,9.747139930725098,9.676079750061035,6.797500133514404,162.41799926757812
2026-07-09 04:54:00+01:00,1.143118381500244,9.748149871826172,9.67576026916504,6.797500133514404,162.42599487304688
2026-07-09 04:55:00+01:00,1.143118381500244,9.749770164489746,9.67800998687744,6.797500133514404,162.427001953125
2026-07-09 04:56:00+01:00,1.143118381500244,9.749509811401367,9.677350044250488,6.797500133514404,162.44000244140625
2026-07-09 04:57:00+01:00,1.142987847328186,9.750049591064451,9.678810119628906,6.797500133514404,162.43899536132812
2026-07-09 04:58:00+01:00,1.143118381500244,9.750049591064451,9.677410125732422,6.797500133514404,162.4409942626953
2026-07-09 04:59:00+01:00,1.142987847328186,9.749910354614258,9.678230285644531,6.797500133514404,162.447998046875
2026-07-09 05:00:00+01:00,1.142987847328186,9.750749588012695,9.68002986907959,6.787199974060059,162.4459991455078
2026-07-09 05:01:00+01:00,1.142987847328186,9.750749588012695,9.67965030670166,6.797500133514404,162.4530029296875
2026-07-09 05:02:00+01:00,1.142987847328186,9.75034999847412,9.681610107421877,6.797500133514404,162.46200561523438
2026-07-09 05:03:00+01:00,1.1428571939468384,9.750749588012695,9.68144989013672,6.797599792480469,162.45700073242188
2026-07-09 05:04:00+01:00,1.1428571939468384,9.749950408935549,9.680150032043455,6.797599792480469,162.4530029296875
